( P /\ T, N /\ T, P /\ N, SummaryLen, #sentences)
( 2,8,1,10,32 )
( 1,3,2,10,36 )
( 2,5,2,10,47 )
( 0,4,1,10,39 )
( 3,2,3,10,32 )
( 4,5,1,10,44 )
( 1,5,2,10,38 )
( 0,3,1,10,46 )
( 4,0,0,10,57 )
( 1,4,0,10,55 )
( 0,5,1,10,56 )
( 1,4,2,10,44 )
( 2,4,3,10,32 )
( 1,4,2,10,32 )
( 2,2,3,10,53 )
( 1,3,3,10,41 )
( 2,2,1,10,46 )
( 0,3,1,10,36 )
( 1,4,0,10,41 )
( 3,5,2,10,36 )
( 2,4,0,10,38 )
( 2,2,0,10,44 )
( 1,4,2,10,33 )
( 1,1,1,10,81 )
( 5,3,2,10,31 )
( 0,4,1,10,39 )
( 3,2,2,10,31 )
( 2,3,0,10,32 )
( 0,2,3,10,67 )
( 1,4,1,10,54 )
( 0,4,0,10,76 )
( 0,5,0,10,77 )
( 0,5,0,10,77 )
( 2,5,1,10,53 )
( 2,4,2,10,32 )
( 3,3,0,10,41 )
( 2,4,4,10,44 )
( 2,4,1,10,55 )
( 2,3,2,10,46 )
( 6,3,3,10,38 )
( 3,6,2,10,37 )
( 0,3,0,10,57 )
( 2,4,2,10,40 )
( 1,2,0,10,40 )
( 0,2,1,10,135 )
( 0,3,3,10,48 )
( 2,3,1,10,34 )
( 4,2,1,10,31 )
( 2,2,2,10,35 )
( 2,4,2,10,33 )
( 2,2,3,10,33 )
( 1,3,3,10,36 )
( 1,3,3,10,36 )
( 2,2,1,10,49 )
( 0,0,1,10,86 )
( 2,3,1,10,36 )
( 2,6,0,10,38 )
( 3,2,0,10,56 )
( 1,2,1,10,73 )
( 1,2,0,10,59 )
( 1,3,3,10,41 )
( 5,4,1,10,32 )
( 2,1,1,10,55 )
( 1,6,1,10,33 )
( 0,2,0,10,37 )
( 0,2,0,10,37 )
( 3,1,1,10,55 )
( 1,1,0,10,55 )
( 0,2,0,10,61 )
( 0,6,0,10,60 )
( 1,7,2,10,59 )
( 1,5,0,10,31 )
( 0,2,0,10,58 )
( 2,3,4,10,32 )
( 2,1,3,10,55 )
( 0,5,1,10,55 )
( 0,0,0,10,93 )
( 1,4,1,10,39 )
( 4,3,1,10,34 )
( 2,2,1,10,36 )
( 2,7,2,10,33 )
( 2,4,2,10,33 )
( 2,2,3,10,33 )
( 0,4,2,10,37 )
( 1,1,3,10,52 )
( 3,3,2,10,33 )
( 1,4,1,10,35 )
( 1,4,1,10,42 )
( 1,3,5,10,39 )
( 1,5,2,10,40 )
( 1,3,0,10,48 )
( 1,4,0,10,65 )
( 2,3,2,10,38 )
( 2,3,2,10,38 )
( 2,0,1,10,56 )
( 1,2,0,10,48 )
( 1,2,0,10,48 )
( 1,5,3,10,32 )
( 0,2,0,10,93 )
( 1,2,3,10,45 )
( 3,4,2,10,34 )
( 2,3,3,10,35 )
( 2,4,0,10,39 )
( 3,3,1,10,38 )
( 2,3,3,10,35 )
( 4,5,3,10,31 )
( 2,3,2,10,32 )
( 1,2,2,10,39 )
( 2,4,0,10,34 )
( 1,2,0,10,45 )
( 5,2,1,10,62 )
( 2,2,3,10,58 )
( 1,5,1,10,44 )
( 2,3,1,10,44 )
( 3,3,3,10,42 )
( 0,3,3,10,51 )
( 2,2,0,10,57 )
( 3,8,2,10,34 )
( 1,3,0,10,48 )
( 1,3,0,10,48 )
( 2,2,0,10,48 )
( 5,1,1,10,38 )
( 1,5,1,10,37 )
( 3,3,2,10,30 )
( 3,3,1,10,37 )
( 1,0,1,10,58 )
( 4,0,0,10,88 )
( 1,3,0,10,33 )
( 0,0,1,10,139 )
( 2,1,1,10,45 )
( 3,5,2,10,43 )
( 1,3,2,10,37 )
( 5,5,2,10,43 )
( 4,4,2,10,45 )
( 3,8,3,10,39 )
( 3,5,2,10,36 )
( 4,7,6,10,36 )
( 3,3,1,10,34 )
( 4,1,0,10,31 )
( 5,0,2,10,44 )
( 0,2,1,10,67 )
( 1,2,1,10,52 )
( 0,3,1,10,45 )
( 2,3,1,10,43 )
( 1,2,0,10,54 )
( 2,4,0,10,58 )
( 2,6,3,10,35 )
( 1,1,0,10,54 )
( 1,1,0,10,54 )
( 3,5,2,10,47 )
( 0,3,1,10,55 )
( 4,2,2,10,32 )
( 0,1,0,10,214 )
( 3,3,4,10,32 )
( 1,3,1,10,62 )
( 1,3,1,10,62 )
( 0,2,2,10,94 )
( 1,4,1,10,54 )
( 3,5,5,10,38 )
( 5,4,3,10,33 )
( 2,4,2,10,40 )
( 3,5,3,10,30 )
( 1,2,2,10,53 )
