( P /\ T, N /\ T, P /\ N, SummaryLen, #sentences)
( 6,6,3,9.0,18 )
( 5,5,3,12.0,24 )
( 3,5,2,8.0,16 )
( 5,5,6,10.0,20 )
( 3,4,4,7.0,15 )
( 7,8,6,14.0,28 )
( 6,8,5,11.0,22 )
( 4,4,4,10.0,20 )
( 4,3,4,6.0,12 )
( 1,2,1,4.0,9 )
( 1,1,1,3.0,7 )
( 1,1,1,1.0,2 )
( 2,2,3,3.0,6 )
( 1,1,1,1.0,2 )
( 3,4,3,5.0,11 )
( 1,1,0,2.0,5 )
( 7,6,7,11.0,22 )
( 5,5,4,8.0,17 )
( 4,8,3,10.0,20 )
( 3,5,3,8.0,17 )
( 5,3,6,9.0,19 )
( 4,6,6,9.0,18 )
( 2,3,1,6.0,12 )
( 4,2,2,5.0,11 )
( 1,3,2,5.0,10 )
( 9,7,8,14.0,28 )
( 2,2,1,4.0,9 )
( 4,3,3,9.0,19 )
( 4,5,4,5.0,10 )
( 2,2,1,4.0,8 )
( 2,2,2,4.0,8 )
( 1,2,1,4.0,8 )
( 6,6,4,14.0,28 )
( 10,5,5,13.0,27 )
( 5,7,5,11.0,23 )
( 6,8,5,11.0,22 )
( 8,8,5,11.0,22 )
( 4,5,4,7.0,15 )
( 6,4,4,8.0,16 )
( 6,4,4,8.0,16 )
( 4,3,1,7.0,15 )
( 5,6,5,11.0,22 )
( 4,5,5,8.0,16 )
( 2,2,2,4.0,9 )
( 6,6,6,12.0,25 )
( 5,4,4,9.0,18 )
( 7,8,6,13.0,27 )
( 5,3,6,8.0,17 )
( 9,8,4,13.0,27 )
( 2,6,2,7.0,15 )
( 6,6,6,9.0,18 )
( 2,2,1,3.0,7 )
( 3,4,3,7.0,15 )
( 1,2,0,3.0,7 )
( 1,3,3,5.0,11 )
( 2,0,1,3.0,7 )
( 9,7,8,14.0,29 )
( 8,12,7,14.0,29 )
( 1,2,1,4.0,9 )
( 2,3,1,4.0,9 )
( 6,6,5,13.0,26 )
( 6,5,2,12.0,25 )
( 6,6,7,12.0,24 )
( 6,6,5,12.0,25 )
( 6,12,7,14.0,28 )
( 4,2,3,6.0,12 )
( 2,4,4,7.0,14 )
( 5,3,3,10.0,21 )
( 5,3,6,8.0,17 )
( 7,4,6,10.0,21 )
( 9,8,4,13.0,27 )
( 7,7,5,14.0,28 )
( 5,4,4,8.0,17 )
( 2,1,2,3.0,6 )
( 3,4,1,6.0,13 )
( 7,8,4,13.0,26 )
( 4,1,1,4.0,9 )
( 3,5,4,10.0,21 )
